Question,A,B,C,D,Answer,Qtype
 What is the reason for the efficiency of a pairing heap?,"
 simplicity","
 time-efficient","
 space-efficient","
 advanced", a,DS
 How is a pairing heap represented?,"
 binary tree","
 fibonacci tree","
 heap ordered tree","
 treap", c,DS
 The actual pairing heap implementation uses the right child and left child representation.,"
 true","
 false","
", Which node contains a pointer to its parent?, b,DS
"
 right most child","
 left most child","
 left sibling","
", Which of the heaps is implemented by the following figure?, c,DS
"
 fibonacci heaps","
 pairing heap","
 skew heap","
 leftist heap","
", b,DS
"
 merge","
 deletion","
 insertion","
 swapping","
", a,DS
"
 c","
 c+1","
 c-1","
 1","
", c,DS
"
 binary heap","
 d-heap","
 treap","
 pairing heap","
", d,DS
"
 splay tree","
 treap","
 red-black tree","
 avl tree","
", a,DS
"
 True","
 False","
",1 The amortized time efficiency for performing deletion of a minimum element is?,"
 O(N)", b,DS
"
 O(N",),"
 O(M log N)","
","1 Out of the following given options, which is the fastest algorithm?", b,DS
"
 pairing heap","
 d-ary heap","
 binary heap","
",1 What is the run time efficiency of an insertion algorithm?, a,DS
 Pointer manipulation is generally more time-consuming than multiplication and division.,"
 true","
 false","
", How many properties does a leftist heap support?, a,DS
"
 2","
 3","
 4","
"," In a leftist heap, the null path length of a null node is defined as?", c,DS
"
 1","
 null","
 -1","
", How many nodes does a leftist tree with r nodes must have?, d,DS
"
 2",-1,"
 2r","
 2r-1","
", b,DS
"
 insert","
 merge","
 delete","
 swap","
", c,DS
"
 insertion","
 merging","
 deletion","
 swapping","
", b,DS
"
 true","
 false","
", What is the efficiency of merge used in leftist heaps?,"
 O(N)", a,DS
"
 O(M log N)","
 O(log N)","
", What is the node path length of a node with 0 or 1 child?,"
 1", d,DS
"
 0","
 null","
", Why is this heap named leftist heap?,"
 only left subtrees exist", c,DS
"
 it is balanced","
 right trees are unbalanced","
","1 In a leftist heap, all the operations should be performed on?","
 left path", b,DS
"
 right path","
 root","
",1 What would be the result if the left subtree of the root has a null path length of 1 and the right subtree has a null path length of 2?,"
 merge occurs without violation", c,DS
"
 violation at right subtree","
 violation at the root","
",1 What happens if the null path length is not updated?,"
 error occurs", d,DS
"
 all null path lengths will be -1","
 all null path lengths will be 1","
",1 What is the time taken to delete a minimum element in a leftist heap?,"
 O(N)", b,DS
"
 O(log N)","
 O(M log N)","
",1 In what time can a leftist heap be built?,"
 O(N)", c,DS
 ___________ is a self-adjusting version of a leftist heap.,"
 Rightist heap","
 Skew heap","
 d-heap","
 Binary heap", b,DS
 The worst case running time of all operations in a skew heap is given as?,"
 O(N)","
 O(N log N)","
 O(N",), a,DS
"
", What is the amortized cost per operation of a skew heap?,"
 O(N)","
 O(N log N)","
 O(N", d,DS
"
 O(log N)","
", The relationship of skew heaps to leftist heaps is analogous to that of?,"
 Splay tree and AVL tree","
 Red black tree and AVL tree", a,DS
"
 Binary tree and Red black tree","
", What is the fundamental operation performed in skew heaps?,"
 intersection","
 difference", c,DS
"
 sorting","
"," What is the time per operation of merging, insertion and deletion operations in a skew heap?","
 O(N)","
 O(log N)", b,DS
"
 O(N",),"
", Why would a recursive implementation fail in skew heaps?,"
 skew heaps are self adjusting", c,DS
"
 lack of stack space","
 time complexity","
", Which of the following is difficult to determine the right path length?,"
 Skew heaps", a,DS
"
 Leftist heap","
 d-heap","
", The worst case analysis for a naïve merge is given as?,"
 O(N)", a,DS
"
 O( N log N)","
 O(N",),"
", How many types of the merge are available in skew heaps?, b,DS
"
 2","
 3","
 4","
",1 Naïve merge cannot be done in a skew merge., b,DS
"
 false","
",1 What is the amortized efficiency of skew merge?,"
 O(N)","
 O( log N)", b,DS
"
 O(N",),"
","1 In skew heaps, certain constraints are to be met in order to perform swapping.","
 true", b,DS
 Descending priority queue can be implemented using ______,"
 max heap","
 min heap","
 min-max heap","
 trie", a,DS
 Min heap can be used to implement selection sort.,"
 True","
 False","
", Which of the following is the valid min heap?, a,DS
"
","
","
","
"," The procedure given below is used to maintain min-order in the min heap. Find out the missing statements, represented as X.", d,DS
"
	swap A[m] and A[parent(m)] ","
 if A[m] > A[parent(m)] then","
	swap A[i] and A[parent(m)] ","
 if A[m] < A[parent(m)] then","
	swap A[m] and A[parent(m)] ", a,DS
"
	swap A[i] and A[parent(m)] ","
", The ascending heap property is ___________,"
 A[Parent(i)] =A[i] ","
 A[Parent(i)] <= A[i] ", b,DS
"
 A[Parent(i)] > 2 * A[i] ","
", The procedure FindMin() to find the minimum element and the procedure DeleteMin() to delete the minimum element in min heap take _________,"
 logarithmic and linear time constant respectively","
 constant and linear time respectively", d,DS
"
 constant and logarithmic time respectively","
", Which one of the following array elements represents a binary min heap?,"
 12 10 8 25 14 17","
 8 10 12 25 14 17", b,DS
"
 14 17 25 10 12 8","
"," In a binary min heap containing n elements, the largest element can be found in __________ time.","
 O(n)","
 O(nlogn)", a,DS
"
 O(1)","
", Min heap is a complete binary tree.,"
 True","
 False", a,DS
" What will be the position of 5, when a max heap is constructed on the input elements 5, 70, 45, 7, 12, 15, 13, 65, 30, 25?","
 5 will be at root","
 5 will be at last level","
 5 will be at second level","
 5 can be anywhere in heap", b,DS
 Trie is also known as _________,"
 Digital Tree","
 Treap","
 Binomial Tree","
 2-3 Tree", a,DS
 What traversal over trie gives the lexicographical sorting of the set of the strings?,"
 postorder","
 preorders","
 inorder","
 level order", c,DS
 Which of the following is the efficient data structure for searching words in dictionaries?,"
 BST","
 Linked List","
 Balancded BST","
 Trie", d,DS
 Which of the following special type of trie is used for fast searching of the full texts?,"
 Ctrie","
 Hash tree","
 Suffix tree","
 T tree", c,DS
 Following code snippet is the function to insert a string in a trie. Find the missing line., node = node.children[index];,"
 node = node.children[str.charAt(i + 1)];","
 node = node.children[index++];","
 node = node.children[index++];", a,DS
 Which of the following is not true?,"
 Trie requires less storage space than hashing","
 Trie allows listing of all the words with same prefix","
 Tries are collision free","
 Trie is also known as prefix tree", a,DS
 A program to search a contact from phone directory can be implemented efficiently using ______,"
 a BST","
 a trie","
 a balanced BST","
 a binary tree", b,DS
 What can be the maximum depth of the trie with n strings and m as the maximum sting the length?,"
 log2n","
 log2m","
 n","
 m", d,DS
 Which of the following is true about the trie?,"
 root is letter a","
 path from root to the leat yields the string","
 children of nodes are randomly ordered","
 each node stores the associated keys", b,DS
 What is the other name for Suffix Tree?,"
 Array","
 Stack","
 Priority Queue","
 PAT Tree", d,DS
 Which tree allows fast implementation of string operation?,"
 Rope Tree","
 Suffix Tree","
 Tango Tree","
 Top Tree", b,DS
 How much time does construction of suffix tree take?,"
 O (log M)","
 O (M!)","
 Exponential to Length of Tree","
 Linear to Length of Tree", d,DS
 How much space does construction of suffix tree takes?,"
 O (log M)","
 Exponential to Length of Tree","
 O (M!)","
 Linear to Length of Tree", d,DS
 Which tree provides a linear time solution for substring operation?,"
 Rope Tree","
 Suffix Tree","
 Tango Tree","
 Top Tree", b,DS
 Who proposed the concept of Suffix Tree?,"
 Weiner","
 Samuel F. B. Morse","
 Friedrich Clemens Gerke","
 Alexander Morse", a,DS
 Who among the following provided the first online contribution of Suffix Tree?,"
 Weiner","
 Samuel F. B. Morse","
 Ukkonen","
 Alexander Morse", c,DS
 What is the time complexity of Uttkonen’s algorithm?,"
 O (log n!)","
 O (n!)","
 O (n",), d,DS
"
", Who among the following provided the first suffix tree contribution for all alphabet?,"
 Weiner","
 Farach","
 Ukkonen", b,DS
"
", Who among the following algorithm is used in external memory and compression of the suffix tree?,"
 Weiner’s algorithm","
 Farach’s algorithm","
 Ukkonen’s algorithm", b,DS
"
",1 Which statement is correct of suffix tree with a string of length n?,"
 The tree has n leaves.","
 The tree has n roots","
 Height of Tree is n", a,DS
"
",1 Do all the nodes have at least two children in suffix tree.,"
 True","
 False","
", b,DS
"
 True","
 False","
",1 Which tree allows fast implementation of a set of string operation?,"
 Rope Tree", b,DS
"
 Generalized Suffix Tree","
 Top Tree","
",1 What is a time complexity for checking a string of length n is substring or not?,"
 O (log n!)", c,DS
 What is a time complexity for x pattern occurrence of length n?,"
 O (log n!)","
 Ɵ (n!)","
 O (n",), d,DS
"
"," What is a time complexity for finding the longest substring that is common in string S1 and S2 (n1 and n2 are the string lengths of strings s1, s2 respectively)?","
 O (log n!)","
 Ɵ (n!)","
 O (n", d,DS
"
 Ɵ (n1 + n2)","
", What is a time complexity for finding the longest substring that is repeated in a string?,"
 O (log n!)","
 Ɵ (n!)", d,DS
+ n1),"
 Ɵ (n)","
", What is a time complexity for finding frequently occurring of a substring of minimum length in a string?,"
 Ɵ (n)", a,DS
"
 O (n",+ n1),"
 O (log n!)","
", What is a time complexity for finding the longest prefix that is common between suffix in a string?, c,DS
"
 Ɵ (n!)","
 Ɵ (1)","
 O (log n!)","
", What is a time complexity for finding all the maximal palindrome in a string?, a,DS
"
 Ɵ (n!)","
 Ɵ (1)","
 O (log n!)","
", What is a time complexity for finding all the tandem repeats?, a,DS
"
 Ɵ (n!)","
 Ɵ (1)","
 O (n log n + z)","
", What is a time complexity for finding the longest palindromic substring in a string by using the generalized suffix tree?, a,DS
"
 Exponential Time","
 Logarithmic Time","
 Cubic Time","
", Which of the following algorithm of data compression uses a suffix tree?, c,DS
"
 Farach’s algorithm","
 Lempel – Ziv – Welch’s algorithm","
 Alexander Morse’s algorithm","
", Which of the following data clustering algorithm uses suffix tree in search engines?, d,DS
"
 Farach’s algorithm","
 Lempel – Ziv – Welch’s algorithm","
 Suffix Tree Clustering","
",1 What is a time complexity for finding the total length of all string on all edges of a tree?, d,DS
"
 Ɵ (n!)","
 Ɵ (1)","
 O (n",),"
", a,DS
"
 True","
 False","
",1 Can suffix tree be used in bioinformatics problems and solutions.,"
 True", a,DS
"
","1 For what size of nodes, the worst case of usage of space in suffix tree seen?","
 n Nodes","
 2", Nodes, c,DS
"
 n! nodes","
",1 What is a time complexity for inserting an alphabet in the tree using hash maps?,"
 O (log n!)","
 O (n!)", d,DS
 What is a hash table?,"
 A structure that maps values to keys","
 A structure that maps keys to values","
 A structure used for storage","
 A structure used to implement stack and queue", b,DS
" If several elements are competing for the same bucket in the hash table, what is it called?","
 Diffusion","
 Replication","
 Collision","
 Duplication", c,DS
 What is direct addressing?,"
 Distinct array position for every possible key","
 Fewer array positions than keys","
 Fewer keys than array positions","
 Same array position for all keys", a,DS
 What is the search complexity in direct addressing?,"
 O(n)","
 O(logn)","
 O(nlogn)","
 O(1)", d,DS
 What is a hash function?,"
 A function has allocated memory to keys","
 A function that computes the location of the key in the array","
 A function that creates an array","
 A function that computes the location of the values in the array", b,DS
 Which of the following is not a technique to avoid a collision?,"
 Make the hash function appear random","
 Use the chaining method","
 Use uniform hashing","
 Increasing hash table size", d,DS
 What is the load factor?,"
 Average array size","
 Average key size","
 Average chain length","
 Average hash table length", c,DS
 What is simple uniform hashing?,"
 Every element has equal probability of hashing into any of the slots","
 A weighted probabilistic method is used to hash elements into the slots","
 Elements has Random probability of hashing into array slots","
 Elements are hashed based on priority", a,DS
" In simple uniform hashing, what is the search complexity?","
 O(n)","
 O(logn)","
 O(nlogn)","
 O(1)", d,DS
" In simple chaining, what data structure is appropriate?","
 Singly linked list","
 Doubly linked list","
 Circular linked list","
 Binary trees", b,DS
 The case in which a key other than the desired one is kept at the identified location is called?,"
 Hashing","
 Collision","
 Chaining","
 Open addressing", b,DS
 What data organization method is used in hash tables?,"
 Stack","
 Array","
 Linked list","
 Queue", c,DS
 The task of generating alternative indices for a node is called?,"
 Collision handling","
 Collision detection","
 Collision recovery","
 Closed hashing", a,DS
 Which of the following is not a collision resolution technique?,"
 Separate chaining","
 Linear probing","
 Quadratic probing","
 Hashing", d,DS
 Hashing is the problem of finding an appropriate mapping of keys into addresses.,"
 True","
 False","
"," In a hash table of size 10, where is element 7 placed?", a,DS
"
 7","
 17","
 16","
", What should be the load factor for separate chaining hashing?, b,DS
"
 1","
 5","
 2","
", Which of the following operations are done in a hash table?, b,DS
"
 Search only","
 Insert and search","
 Replace","
", Which of the following is identical to that of a separate chaining hash node?, c,DS
"
 Array","
 Stack","
 Queue","
", Which of the following is the hashing function for separate chaining?, a,DS
"
 H(x)=hash(x)+i",  mod table size,"
 H(x)=x mod table size","
 H(x)=x mod (table size * 2)","
", c,DS
"
 Ω","
 ∞","
 ∑","
 ⅄","
", d,DS
"
 1+⅄","
 1+⅄","
 1+ (⅄/2)","
 ⅄","
", c,DS
"
 It requires many pointers","
 It requires linked lists","
 It uses array","
 It does not resolve collision","
", a,DS
"
 O(N log N)","
 O(N)","
 O(N",),"
 O(N", b,DS
"
","1 From the given table, find ‘?’.","
Given: hash(x)= x mod 10","
","
 13", c,DS
 Which of the following is used in hash tables to determine the index of any input record?,"
 hash function","
 hash linked list","
 hash tree","
 hash chaining", a,DS
 What is the advantage of a hash table as a data structure?,"
 faster access of data","
 easy to implement","
 very efficient for less number of entries","
 exhibit good locality of reference", a,DS
 What is the use of a hash function?,"
 to calculate and return the index of corresponding data","
 to store data","
 to erase data","
 to change data", a,DS
 What is the time complexity of insert function in a hash table using a doubly linked list?,"
 O(1)","
 O(n)","
 O(log n)","
 O(n log n)", a,DS
 What is the time complexity of search function in a hash table using a doubly linked list?,"
 O(1)","
 O(n)","
 O(log n)","
 O(n log n)", a,DS
 What is the time complexity of delete function in the hash table using a doubly linked list?,"
 O(1)","
 O(n)","
 O(log n)","
 O(n log n)", a,DS
 Hashing can be used to encrypt and decrypt digital signatures.,"
 true","
 false","
", What is the advantage of using a doubly linked list for chaining over singly linked list?, a,DS
"
 it is easy to implement","
 it makes the process of insertion and deletion faster","
 it causes less collisions","
", Which of the following technique stores data in the hash table itself in case of a collision?, c,DS
"
 Chaining using linked list","
 Chaining using doubly linked list","
 Chaining using binary tree","
", Which of the following technique stores data in a separate entity in case of a collision?, a,DS
"
 Chaining using doubly linked list","
 Linear probing","
 Double hashing","
",1 Collision is caused due to the presence of two keys having the same value., b,DS
 Which of the following variant of a hash table has the best cache performance?,"
 hash table using a linked list for separate chaining","
 hash table using binary search tree for separate chaining","
 hash table using open addressing","
 hash table using a doubly linked list for separate chaining", c,DS
 What is the advantage of hashing with chaining?,"
 cache performance is good","
 uses less space","
 less sensitive to hash function","
 has a time complexity of O(n) in the worst case", c,DS
 What is the disadvantage of hashing with chaining?,"
 not easy to implement","
 takes more space","
 quite sensitive to hash function","
 table gets filled up easily", b,DS
 What is the time complexity of insert function in a hash table using a binary tree?,"
 O(1)","
 O(n)","
 O(log n)","
 O(n log n)", a,DS
 What is the time complexity of the search function in a hash table using a binary tree?,"
 O(1)","
 O(n)","
 O(log n)","
 O(n log n)", a,DS
 What is the time complexity of the delete function in the hash table using a binary tree?,"
 O(1)","
 O(n)","
 O(log n)","
 O(n log n)", a,DS
 What is the advantage of a hash table over BST?,"
 hash table has a better average time complexity for performing insert, delete and search operations","
 hash table requires less space","
 range query is easy with hash table","
 easier to implement", a,DS
 What is the disadvantage of BST over the hash table?,"
 BST is easier to implement","
 BST can get the keys sorted by just performing inorder traversal","
 BST can perform range query easily","
 Time complexity of hash table in inserting, searching and deleting is less than that of BST", d,DS
 Which of the following technique stores data separately in case of a collision?,"
 Open addressing","
 Double hashing","
 Quadratic probing","
 Chaining using a binary tree", d,DS
 Separate chaining is easier to implement as compared to open addressing.,"
 true","
 false","
",1 In open addressing the hash table can never become full., a,DS
 Which of the following helps keys to be mapped into addresses?,"
 hash function","
 separate chaining","
 open addressing","
 chaining using a linked list", a,DS
 What is the advantage of the hash table over a linked list?,"
 faster access of data","
 easy to implement","
 very efficient for less number of entries","
 exhibit good locality of reference", a,DS
 Which of the following trait of a hash function is most desirable?,"
 it should cause less collisions","
 it should cause more collisions","
 it should occupy less space","
 it should be easy to implement", a,DS
 What is the time complexity of insert function in a hash table using list head?,"
 O(1)","
 O(n)","
 O(log n)","
 O(n log n)", a,DS
 What is the time complexity of search function in a hash table using list head?,"
 O(1)","
 O(n)","
 O(log n)","
 O(n log n)", a,DS
 What is the time complexity of delete function in the hash table using list head?,"
 O(1)","
 O(n)","
 O(log n)","
 O(n log n)", a,DS
 A hash table may become full in the case when we use open addressing.,"
 true","
 false","
", What is the advantage of using linked list over the doubly linked list for chaining?, a,DS
"
 it causes more collisions","
 it makes the process of insertion and deletion faster","
 it causes less collisions","
", What is the worst case time complexity of insert function in the hash table when the list head is used for chaining?, a,DS
"
 O(n log n)","
 O(log n)","
 O(n)","
", Which of the following technique is used for handling collisions in a hash table?, d,DS
"
 Hashing","
 Searching","
 Hash function","
",1 By implementing separate chaining using list head we can reduce the number of collisions drastically., a,DS
"
 False","
",1 Which of the following is an advantage of open addressing over separate chaining?,"
 it is simpler to implement","
 table never gets full", b,DS
 Which of the following problems occur due to linear probing?,"
 Primary collision","
 Secondary collision","
 Separate chaining","
 Extendible hashing", a,DS
 How many probes are required on average for insertion and successful search?,"
 4 and 10","
 2 and 6","
 5 and 5","
 5 and 5", c,DS
 What is the load factor for an open addressing technique?,"
 1","
 0.5","
 5","
 0", b,DS
 Which of the following is not a collision resolution strategy for open addressing?,"
 Linear probing","
 Quadratic probing","
 Double hashing","
 Rehashing", d,DS
" In linear probing, the cost of an unsuccessful search can be used to compute the average cost of a successful search.","
 True","
 False","
", Which of the following is the correct function definition for linear probing?,   a,DS
"
 F(i)=i","
 F(i)=i","
 F(i)=i+1","
", ___________  is not a theoretical problem but actually occurs in real implementations of probing., b,DS
"
 Clustering","
 Rehashing","
 Collision","
", What is the hash function used in linear probing?, b,DS
"
 H(x)= (key+ F(i",)) mod table size,"
 H(x)= (key+ F(i)) mod table size","
 H(x)= X mod 17","
", c,DS
"
 True","
 False","
"," In the following given hash table, use linear probing to find the location of 4",7, a,DS
"
 2","
 0","
",1 What is the formula to find the expected number of probes for an unsuccessful search in linear probing?,"
 \(\frac{1}{2} \frac{1+1}{(1-⅄)}\) ", d,DS
 Which of the following schemes does quadratic probing come under?,"
 rehashing","
 extended hashing","
 separate chaining","
 open addressing", d,DS
 Quadratic probing overcomes primary collision.,"
 True","
 False","
", What kind of deletion is implemented by hashing using open addressing?, a,DS
"
 standard deletion","
 lazy deletion","
 no deletion","
"," In quadratic probing, if the table size is prime, a new element cannot be inserted if the table is half full.", c,DS
"
 False","
", Which of the following is the correct function definition for quadratic probing?,"
 F(i)=i","
 F(i)=i", b,DS
"
 F(i)=i",1,"
", How many constraints are to be met to successfully implement quadratic probing?,"
 1", a,DS
"
 3","
 4","
",  Which among the following is the best technique to handle collision?,"
 Quadratic probing", b,DS
"
 Double hashing","
 Separate chaining","
", Which of the following techniques offer better cache performance?,"
 Quadratic probing", a,DS
"
 Double hashing","
 Rehashing","
", What is the formula used in quadratic probing?,"
 Hash key = key mod table size", b,DS
"
 Hash key=(hash(x)+F(i",)) mod table size,"
 H(x) = x mod 17","
"," For the given hash table, in what location will the element 58 be hashed using quadratic probing?", c,DS
 Which scheme uses a randomization approach?,"
 hashing by division","
 hashing by multiplication","
 universal hashing","
 open addressing", c,DS
 Which hash function satisfies the condition of simple uniform hashing?,"
 h(k) = lowerbound(km)","
 h(k)= upperbound(mk)","
 h(k)= lowerbound(k)","
 h(k)= upperbound(k)", a,DS
 A good hash approach is to derive the hash value that is expected to be dependent of any patterns that might exist in the data.,"
 True","
 False","
", Interpret the given character string as an integer expressed in suitable radix notation.  , b,DS
"
 14392","
 12784","
 14452","
", What is the hash function used in the division method?, d,DS
"
 h(k) = k mod m","
 h(k) = m/k","
 h(k) = m  mod k","
", What can be the value of m in the division method?, b,DS
"
 Any even number","
 2", – 1,"
 2","
", a,DS
"
 open addressing","
 universal hashing","
 hashing by division","
 hashing by multiplication","
", b,DS
"
 19","
 72","
 15","
 17","
", c,DS
"
 1","
 4","
 3","
 2","
", d,DS
"
 h(k) = floor( m(kA mod 1))","
 h(k) = ceil( m(kA mod 1))","
 h(k) = floor(kA mod m)","
 h(k) = ceil( kA mod m)","
", a,DS
"
 only 2 steps are involved","
 using constant","
 value of m not critical","
 simple multiplication","
", c,DS
"
 14","
 128","
 49","
 127","
", b,DS
"
	Given: p=14, s=2654435769, w=32","
 123","
 456","
 70","
 67", d,DS
1 What is the average retrieval time when n keys hash to the same slot?,"
 Theta(n)","
 Theta(n",),"
 Theta(nlog n)", a,DS
),"
",1 Collisions can be reduced by choosing a hash function randomly in a way that is independent of the keys that are actually to be stored.,"
 True","
 False", a,DS
 Double hashing is one of the best methods available for open addressing.,"
 True","
 False","
", What is the hash function used in Double Hashing?, a,DS
"
 h1(k) + h2(k)","
 (h1(k) + i*h2(k))mod m","
 (h1(k) + h2(k))mod m","
", On what value does the probe sequence depend on?, c,DS
"
 k","
 c2","
 m","
", The value of h2(k) can be composite relatively to the hash table size m., b,DS
"
 False","
", What are the values of h1(k) and h2(k) in the hash function?,"

","
", b,DS
"
", Which technique has the greatest number of probe sequences?,"
 Linear probing","
 Quadratic probing","
 Double hashing", d,DS
"
", At what position the number 72 gets inserted in the following table?,3,"
 10","
 4", a,DS
"
", Where does the number 14 get inserted in the following table?,2,"
 9","
 4", c,DS
"
", What is the value of m’ if the value of m is 19?,"
 11","
 18","
 17", d,DS
 Hash tree is generalization of ______,"
 Heap","
 Hash list","
 BST","
 B – tree", b,DS
 Hash tree is used in effective data verification in distributed systems.,"
 True","
 False","
", Which of the following is a widely used form of the hash tree?, a,DS
"
 T tree","
 Tiger tree hash","
 Htree","
", Which of the following is true for a Hash tree?,  c,DS
"
 Indexing is used for direct access","
 Hash tree allows only sequential access","
 Hashing is used for direct access","
", Hash tree is also known as _____, d,DS
"
 T -tree","
 Hash table","
 B",#NAME?,"
", a,DS
"
 3","
 5","
 4","
 6","
", c,DS
"
 in digital currency","
 in sorting of large data","
 for indexing in databases","
 in encryption of data","
", a,DS
"
 O(log",(n)),"
 O(n",),"
 O(nlog", a,DS
"
 O(kn)","
", Sequential access in a Hash tree is faster than in B-trees.,"
 True","
 False", a,DS
 Hash tree is used in data synchronisation. In the worst case the data synchronisation takes ______ time.,"
 O(logn)","
 O(n",),"
 O(nlogn)", d,DS
 Which technique is used for finding similarity between two sets?,"
 MinHash","
 Stack","
 Priority Queue","
 PAT Tree", a,DS
 Who invented the MinHash technique?,"
 Weiner","
 Samuel F. B. Morse","
 Friedrich Clemens Gerke","
 Andrei Broder", d,DS
 Which technique was firstly used to remove duplicate web pages from search results in AltaVista search engine?,"
 MinHash","
 Stack","
 Priority Queue","
 PAT Tree", a,DS
 Which technique was firstly used clustering documents using the similarity of two words or strings?,"
 MinHash","
 Stack","
 Priority Queue","
 PAT Tree", a,DS
 Which indicator is used for similarity between two sets?,"
 Rope Tree","
 Jaccard Coefficient","
 Tango Tree","
 MinHash Coefficient", b,DS
 Which of the following is defined as the ratio of total elements of intersection and union of two sets?,"
 Rope Tree","
 Jaccard Coefficient Index","
 Tango Tree","
 MinHash Coefficient", b,DS
 What is the value of the Jaccard index when the two sets are disjoint?,"
 1","
 2","
 3","
 0", d,DS
 When are the members of two sets more common relatively?,"
 Jaccard Index is Closer to 1","
 Jaccard Index is Closer to 0","
 Jaccard Index is Closer to -1","
 Jaccard Index is Farther to 1", a,DS
 What is the expected error for estimating the Jaccard index using MinHash scheme for k different hash functions?,"
 O (log k!)","
 O (k!)","
 O (k",), d,DS
"
", How many hashes will be needed for calculating Jaccard index with an expected error less than or equal to 0.05?,"
 100","
 200","
 300", d,DS
"
",1 What is the expected error by the estimator Chernoff bound on the samples performed without replacement?,"
 O (log k!)","
 O (k!)","
 O (k", d,DS
"
 O (1/k½)","
",1 What is the time required for single variant hashing to maintain the minimum hash queue?,"
 O (log n!)","
 O (n!)", d,DS
),"
 O (n)","
",1 How many bits are needed to specify the single permutation by min-wise independent family?,"
 O (log n!)", d,DS
"
 Ω (n",),"
 Ω (n)","
",1 Is MinHash used as a tool for association rule learning., a,DS
"
 False","
",1 Did Google conduct a large evaluation for comparing the performance by two technique MinHash and SimHash.,"
 True","
 False", a,DS
 What is direct addressing?,"
 Distinct array position for every possible key","
 Fewer array positions than keys","
 Fewer keys than array positions","
 Distinct array positions for keys based on priority", a,DS
 When is it appropriate to use direct addressing?,"
 When the array is comparatively large","
 When the universe U of keys is reasonably small","
 When the universe U of keys is reasonably large","
 When the array is comparatively small", b,DS
 What is the search complexity in direct addressing?,"
 O(n)","
 O(logn)","
 O(nlogn)","
 O(1)", d,DS
 What is the time complexity to insert an element into the direct address table?,"
 O(n)","
 O(logn)","
 O(nlogn)","
 O(1)", d,DS
 What is the advantage of using a dynamic set in direct addressing?,"
 It saves time","
 It saves space","
 It saves both time and space","
 It reduces code complexity", b,DS
 What is the time complexity to delete an element from the direct address table?,"
 O(n)","
 O(logn)","
 O(nlogn)","
 O(1)", d,DS
 How is a bit vector better compared to a normal array for implementing the hash table?,"
 It saves time","
 It saves space","
 It saves both time and space","
 It reduces code complexity", b,DS
 Which of the following statements for a simple graph is correct?,"
 Every path is a trail","
 Every trail is a path","
 Every trail is a path as well as every path is a trail","
 Path and trail have no relation", a,DS
 In the given graph identify the cut vertices.,"
","
 B and E","
 C and D","
 A and E", d,DS
"
"," For the given graph(G), which of the following statements is true?","
","
 G is a complete graph","
 G is not a connected graph", c,DS
"
 The edge connectivity of the graph is 1","
",  What is the number of edges present in a complete graph having n vertices?,"
 (n*(n+1))/2","
 (n*(n-1))/2", b,DS
"
 Information given is insufficient","
", The given Graph is regular.,"
","
 True", a,DS
"
"," In a simple graph, the number of edges is equal to twice the sum of the degrees of the vertices.","
 True","
 False","
", b,DS
"
 15","
 3","
 1","
 11","
", b,DS
"
 (n*n-n-2*m)/2","
 (n*n+n+2*m)/2","
 (n*n-n-2*m)/2","
 (n*n-n+2*m)/2","
", a,DS
"
 Must be connected","
 Must be unweighted","
 Must have no loops or multiple edges","
 Must have no multiple edges","
", a,DS
"
 24","
 21","
 25","
 16","
", c,DS
"
 A graph may contain no edges and many vertices","
 A graph may contain many edges and no vertices","
 A graph may contain no edges and no vertices","
 A graph may contain no vertices and many edges","
", b,DS
"
 v=e","
 v = e+1","
 v + 1 = e","
 v = e-1","
", b,DS
"
 1,2,3","
 2,3,4","
 2,4,5","
 1,3,5","
", a,DS
"
 Multi Graph","
 Regular Graph","
 Simple Graph","
 Complete Graph","
", b,DS
 The number of elements in the adjacency matrix of a graph having 7 vertices is __________,"
 7","
 14","
 36","
 49", d,DS
 What would be the number of zeros in the adjacency matrix of the given graph?,"
","
 10","
 6","
 16", b,DS
"
", Adjacency matrix of all graphs are symmetric.,"
 False","
 True","
", a,DS
"
 O(V)","
 O(E",),"
 O(E)","
 O(V", d,DS
"
", For the adjacency matrix of a directed graph the row sum is the _________ degree and the column sum is the ________ degree.,"
 in, out","
 out, in","
 in, total", b,DS
"
", What is the maximum number of possible non zero values in an adjacency matrix of a simple graph with n vertices?,"
 (n*(n-1))/2","
 (n*(n+1))/2","
 n*(n-1)", c,DS
"
"," On which of the following statements does the time complexity of checking if an edge exists between two particular vertices is not, depends?","
 Depends on the number of edges","
 Depends on the number of vertices","
 Is independent of both the number of edges and vertices", c,DS
"
"," In the given connected graph G, what is the value of rad(G) and diam(G)?","
 2, 3","
 3, 2","
 2, 2", a,DS
"
", Which of these adjacency matrices represents a simple graph?,"
 [ [1, 0, 0], [0, 1, 0], [0, 1, 1] ] ","	","
 [ [1, 1, 1], [1, 1, 1], [1, 1, 1] ] ", d,DS
"	","
 [ [0, 0, 1], [1, 0, 1], [1, 0, 0] ] ", ,"
"," Given an adjacency matrix A = [ [0, 1, 1], [1, 0, 1], [1, 1, 0] ], The total no. of ways in which every vertex can walk to itself using 2 edges is ________", c,DS
"
 4","
 6","
 8","
","1 If A[x+3][y+5] represents an adjacency matrix, which of these could be the value of x and y.", a,DS
